method,number_feature,in_safari,accuracy,auc,f1,mcc
reliefF,350,13,0.57,0.542,0.669,0.095
reliefF,360,13,0.57,0.542,0.669,0.095
reliefF,370,14,0.57,0.542,0.669,0.095
reliefF,380,14,0.565,0.537,0.664,0.084
reliefF,390,14,0.618,0.59,0.708,0.206
reliefF,400,15,0.602,0.575,0.694,0.169
reliefF,410,15,0.613,0.587,0.7,0.194
reliefF,420,17,0.602,0.575,0.694,0.169
reliefF,430,17,0.618,0.592,0.705,0.206
reliefF,440,17,0.608,0.581,0.697,0.182
reliefF,450,17,0.618,0.593,0.703,0.207
reliefF,460,17,0.618,0.593,0.703,0.207
reliefF,470,18,0.624,0.596,0.711,0.219
reliefF,480,19,0.613,0.587,0.7,0.194
reliefF,490,20,0.634,0.606,0.721,0.244
reliefF,500,20,0.618,0.589,0.71,0.206
joint_interaction_75,10,0,0.559,0.5,0.717,0.0
joint_interaction_75,20,1,0.554,0.527,0.653,0.061
joint_interaction_75,30,1,0.629,0.609,0.701,0.232
joint_interaction_75,40,1,0.559,0.531,0.661,0.07
joint_interaction_75,50,1,0.581,0.554,0.675,0.121
joint_interaction_75,60,1,0.591,0.559,0.696,0.141
joint_interaction_75,70,1,0.57,0.534,0.685,0.086
joint_interaction_75,80,2,0.586,0.554,0.691,0.129
joint_interaction_75,90,3,0.586,0.556,0.686,0.131
joint_interaction_75,100,3,0.575,0.547,0.675,0.107
joint_interaction_75,110,3,0.559,0.53,0.664,0.068
joint_interaction_75,120,4,0.57,0.543,0.667,0.097
joint_interaction_75,130,5,0.581,0.555,0.672,0.122
joint_interaction_75,140,5,0.57,0.543,0.667,0.097
joint_interaction_75,150,5,0.586,0.56,0.678,0.134
joint_interaction_75,160,7,0.591,0.564,0.686,0.144
joint_interaction_75,170,8,0.575,0.552,0.664,0.113
joint_interaction_75,180,8,0.522,0.496,0.624,-0.009
joint_interaction_75,190,8,0.538,0.513,0.636,0.028
joint_interaction_75,200,8,0.591,0.568,0.678,0.148
joint_interaction_75,210,8,0.581,0.554,0.675,0.121
joint_interaction_75,220,8,0.527,0.502,0.627,0.005
joint_interaction_75,230,8,0.527,0.502,0.627,0.005
joint_interaction_75,240,10,0.559,0.531,0.661,0.07
joint_interaction_75,250,10,0.554,0.525,0.658,0.057
joint_interaction_75,260,11,0.559,0.531,0.661,0.07
joint_interaction_75,270,11,0.586,0.556,0.686,0.131
joint_interaction_75,280,11,0.634,0.605,0.724,0.245
joint_interaction_75,290,11,0.624,0.595,0.713,0.219
joint_interaction_75,300,11,0.618,0.59,0.708,0.206
joint_interaction_75,310,11,0.613,0.585,0.702,0.194
joint_interaction_75,320,11,0.602,0.575,0.694,0.169
joint_interaction_75,330,11,0.613,0.584,0.705,0.194
joint_interaction_75,340,12,0.624,0.596,0.711,0.219
joint_interaction_75,350,12,0.613,0.583,0.707,0.194
joint_interaction_75,360,13,0.581,0.553,0.678,0.12
joint_interaction_75,370,13,0.586,0.558,0.683,0.132
joint_interaction_75,380,13,0.575,0.547,0.675,0.107
joint_interaction_75,390,14,0.597,0.567,0.694,0.156
joint_interaction_75,400,14,0.602,0.576,0.692,0.17
joint_interaction_75,410,14,0.591,0.566,0.681,0.147
joint_interaction_75,420,14,0.624,0.595,0.713,0.219
joint_interaction_75,430,14,0.64,0.616,0.717,0.255
joint_interaction_75,440,14,0.629,0.605,0.709,0.231
joint_interaction_75,450,14,0.602,0.58,0.684,0.173
joint_interaction_75,460,15,0.602,0.58,0.684,0.173
joint_interaction_75,470,15,0.613,0.588,0.697,0.195
joint_interaction_75,480,16,0.618,0.594,0.7,0.207
joint_interaction_75,490,19,0.618,0.595,0.698,0.208
joint_interaction_75,500,20,0.608,0.586,0.687,0.185
GOcc_70,10,0,0.505,0.494,0.57,-0.011
GOcc_70,20,0,0.613,0.58,0.712,0.194
GOcc_70,30,0,0.575,0.552,0.664,0.113
GOcc_70,40,1,0.559,0.536,0.65,0.078
GOcc_70,50,1,0.608,0.581,0.697,0.182
GOcc_70,60,1,0.613,0.579,0.714,0.195
GOcc_70,70,1,0.591,0.562,0.689,0.144
GOcc_70,80,1,0.586,0.555,0.688,0.13
GOcc_70,90,1,0.586,0.556,0.686,0.131
GOcc_70,100,1,0.554,0.526,0.656,0.059
GOcc_70,110,3,0.554,0.527,0.653,0.061
GOcc_70,120,3,0.559,0.536,0.65,0.078
GOcc_70,130,4,0.543,0.519,0.638,0.042
GOcc_70,140,4,0.548,0.524,0.644,0.052
GOcc_70,150,4,0.651,0.626,0.728,0.28
GOcc_70,160,4,0.651,0.627,0.726,0.279
GOcc_70,170,6,0.634,0.611,0.712,0.243
GOcc_70,180,6,0.645,0.621,0.723,0.267
GOcc_70,190,7,0.538,0.509,0.645,0.021
GOcc_70,200,8,0.64,0.613,0.722,0.256
GOcc_70,210,8,0.64,0.613,0.722,0.256
GOcc_70,220,9,0.538,0.513,0.636,0.028
GOcc_70,230,9,0.538,0.51,0.642,0.023
GOcc_70,240,9,0.624,0.598,0.708,0.219
GOcc_70,250,9,0.661,0.636,0.736,0.304
GOcc_70,260,10,0.64,0.61,0.729,0.258
GOcc_70,270,10,0.64,0.608,0.731,0.259
GOcc_70,280,10,0.651,0.626,0.728,0.28
GOcc_70,290,10,0.634,0.607,0.719,0.243
GOcc_70,300,10,0.651,0.624,0.73,0.28
GOcc_70,310,11,0.645,0.617,0.73,0.269
GOcc_70,320,12,0.634,0.61,0.714,0.243
GOcc_70,330,13,0.629,0.605,0.709,0.231
GOcc_70,340,14,0.613,0.587,0.7,0.194
GOcc_70,350,15,0.608,0.585,0.689,0.184
GOcc_70,360,15,0.629,0.606,0.706,0.231
GOcc_70,370,15,0.624,0.6,0.703,0.219
GOcc_70,380,15,0.613,0.588,0.697,0.195
GOcc_70,390,16,0.624,0.6,0.703,0.219
GOcc_70,400,17,0.624,0.602,0.701,0.22
GOcc_70,410,17,0.613,0.589,0.695,0.195
GOcc_70,420,17,0.618,0.595,0.698,0.208
GOcc_70,430,17,0.608,0.583,0.692,0.183
GOcc_70,440,18,0.608,0.583,0.692,0.183
GOcc_70,450,18,0.597,0.572,0.684,0.159
GOcc_70,460,18,0.597,0.575,0.678,0.161
GOcc_70,470,18,0.591,0.57,0.672,0.15
GOcc_70,480,18,0.602,0.581,0.681,0.174
GOcc_70,490,18,0.618,0.594,0.7,0.207
GOcc_70,500,20,0.618,0.595,0.698,0.208
co_expression_15,10,0,0.548,0.507,0.679,0.02
co_expression_15,20,1,0.527,0.509,0.611,0.018
co_expression_15,30,1,0.554,0.525,0.658,0.057
co_expression_15,40,1,0.575,0.545,0.678,0.105
co_expression_15,50,1,0.527,0.496,0.642,-0.01
co_expression_15,60,1,0.591,0.56,0.694,0.142
co_expression_15,70,1,0.559,0.525,0.675,0.06
co_expression_15,80,2,0.597,0.567,0.694,0.156
co_expression_15,90,3,0.591,0.562,0.689,0.144
co_expression_15,100,4,0.597,0.568,0.691,0.156
co_expression_15,110,4,0.597,0.57,0.689,0.157
co_expression_15,120,4,0.591,0.562,0.689,0.144
co_expression_15,130,5,0.565,0.538,0.661,0.085
co_expression_15,140,6,0.597,0.572,0.684,0.159
co_expression_15,150,6,0.559,0.534,0.655,0.074
co_expression_15,160,7,0.581,0.555,0.672,0.122
co_expression_15,170,7,0.575,0.551,0.667,0.111
co_expression_15,180,9,0.581,0.554,0.675,0.121
co_expression_15,190,9,0.667,0.641,0.742,0.316
co_expression_15,200,9,0.651,0.627,0.726,0.279
co_expression_15,210,9,0.661,0.636,0.736,0.304
co_expression_15,220,9,0.651,0.628,0.723,0.279
co_expression_15,230,9,0.597,0.57,0.689,0.157
co_expression_15,240,9,0.624,0.599,0.706,0.219
co_expression_15,250,9,0.597,0.568,0.691,0.156
co_expression_15,260,10,0.548,0.521,0.65,0.048
co_expression_15,270,11,0.629,0.601,0.716,0.231
co_expression_15,280,11,0.629,0.601,0.716,0.231
co_expression_15,290,11,0.613,0.585,0.702,0.194
co_expression_15,300,11,0.624,0.599,0.706,0.219
co_expression_15,310,11,0.634,0.611,0.712,0.243
co_expression_15,320,11,0.597,0.571,0.686,0.158
co_expression_15,330,12,0.613,0.587,0.7,0.194
co_expression_15,340,12,0.608,0.581,0.697,0.182
co_expression_15,350,12,0.613,0.587,0.7,0.194
co_expression_15,360,13,0.618,0.593,0.703,0.207
co_expression_15,370,13,0.634,0.611,0.712,0.243
co_expression_15,380,13,0.651,0.622,0.735,0.282
co_expression_15,390,14,0.667,0.641,0.742,0.316
co_expression_15,400,14,0.651,0.628,0.723,0.279
co_expression_15,410,15,0.651,0.628,0.723,0.279
co_expression_15,420,15,0.645,0.622,0.72,0.267
co_expression_15,430,16,0.645,0.622,0.72,0.267
co_expression_15,440,16,0.651,0.627,0.726,0.279
co_expression_15,450,16,0.651,0.627,0.726,0.279
co_expression_15,460,16,0.618,0.598,0.693,0.209
co_expression_15,470,18,0.651,0.627,0.726,0.279
co_expression_15,480,18,0.645,0.621,0.723,0.267
co_expression_15,490,19,0.645,0.622,0.72,0.267
co_expression_15,500,19,0.645,0.621,0.723,0.267
HPO_80,10,0,0.548,0.507,0.679,0.02
HPO_80,20,1,0.511,0.486,0.613,-0.03
HPO_80,30,1,0.548,0.524,0.644,0.052
HPO_80,40,1,0.543,0.517,0.644,0.037
HPO_80,50,1,0.548,0.521,0.65,0.048
HPO_80,60,1,0.565,0.531,0.677,0.075
HPO_80,70,1,0.565,0.533,0.672,0.078
HPO_80,80,2,0.602,0.569,0.704,0.168
HPO_80,90,3,0.591,0.564,0.686,0.144
HPO_80,100,3,0.565,0.541,0.655,0.089
HPO_80,110,3,0.613,0.588,0.697,0.195
HPO_80,120,3,0.602,0.577,0.689,0.171
HPO_80,130,3,0.597,0.571,0.686,0.158
HPO_80,140,4,0.591,0.562,0.689,0.144
HPO_80,150,5,0.586,0.56,0.678,0.134
HPO_80,160,6,0.565,0.536,0.667,0.082
HPO_80,170,6,0.581,0.555,0.672,0.122
HPO_80,180,8,0.575,0.548,0.672,0.108
HPO_80,190,8,0.634,0.612,0.709,0.243
HPO_80,200,8,0.608,0.583,0.692,0.183
HPO_80,210,8,0.645,0.622,0.72,0.267
HPO_80,220,8,0.575,0.552,0.664,0.113
HPO_80,230,8,0.581,0.557,0.669,0.124
HPO_80,240,8,0.559,0.531,0.661,0.07
HPO_80,250,8,0.543,0.515,0.647,0.034
HPO_80,260,9,0.543,0.514,0.65,0.032
HPO_80,270,9,0.538,0.509,0.645,0.021
HPO_80,280,10,0.538,0.509,0.645,0.021
HPO_80,290,10,0.586,0.56,0.678,0.134
HPO_80,300,10,0.618,0.59,0.708,0.206
HPO_80,310,10,0.597,0.57,0.689,0.157
HPO_80,320,10,0.591,0.566,0.681,0.147
HPO_80,330,11,0.591,0.565,0.683,0.145
HPO_80,340,11,0.608,0.582,0.695,0.182
HPO_80,350,12,0.602,0.576,0.692,0.17
HPO_80,360,12,0.608,0.583,0.692,0.183
HPO_80,370,12,0.565,0.536,0.667,0.082
HPO_80,380,12,0.634,0.61,0.714,0.243
HPO_80,390,13,0.586,0.558,0.683,0.132
HPO_80,400,14,0.624,0.603,0.698,0.22
HPO_80,410,14,0.581,0.558,0.667,0.125
HPO_80,420,15,0.629,0.608,0.704,0.232
HPO_80,430,15,0.629,0.606,0.706,0.231
HPO_80,440,15,0.634,0.612,0.709,0.243
HPO_80,450,15,0.613,0.593,0.687,0.198
HPO_80,460,16,0.608,0.587,0.684,0.186
HPO_80,470,17,0.651,0.627,0.726,0.279
HPO_80,480,18,0.64,0.621,0.707,0.256
HPO_80,490,19,0.645,0.627,0.711,0.268
HPO_80,500,19,0.661,0.64,0.73,0.302
gini_index,10,0,0.613,0.578,0.717,0.195
gini_index,20,1,0.591,0.559,0.696,0.141
gini_index,30,3,0.602,0.577,0.689,0.171
gini_index,40,4,0.602,0.577,0.689,0.171
gini_index,50,5,0.608,0.582,0.695,0.182
gini_index,60,6,0.591,0.565,0.683,0.145
gini_index,70,7,0.608,0.582,0.695,0.182
gini_index,80,8,0.629,0.602,0.714,0.231
gini_index,90,9,0.64,0.612,0.724,0.256
gini_index,100,9,0.629,0.601,0.716,0.231
gini_index,110,10,0.618,0.59,0.708,0.206
gini_index,120,11,0.613,0.584,0.705,0.194
gini_index,130,13,0.624,0.594,0.715,0.219
gini_index,140,13,0.618,0.589,0.71,0.206
gini_index,150,14,0.618,0.586,0.715,0.207
gini_index,160,14,0.613,0.584,0.705,0.194
gini_index,170,15,0.618,0.59,0.708,0.206
gini_index,180,16,0.64,0.606,0.735,0.263
gini_index,190,16,0.64,0.606,0.735,0.263
gini_index,200,16,0.629,0.595,0.727,0.236
gini_index,210,16,0.629,0.6,0.718,0.232
gini_index,220,17,0.629,0.601,0.716,0.231
gini_index,230,17,0.656,0.636,0.724,0.291
gini_index,240,18,0.645,0.623,0.718,0.267
gini_index,250,18,0.613,0.589,0.695,0.195
gini_index,260,18,0.64,0.613,0.722,0.256
gini_index,270,19,0.624,0.595,0.713,0.219
gini_index,280,21,0.634,0.605,0.724,0.245
gini_index,290,22,0.667,0.644,0.737,0.315
gini_index,300,23,0.645,0.622,0.72,0.267
gini_index,310,24,0.634,0.611,0.712,0.243
gini_index,320,24,0.634,0.61,0.714,0.243
gini_index,330,24,0.651,0.627,0.726,0.279
gini_index,340,24,0.656,0.632,0.731,0.291
gini_index,350,25,0.672,0.646,0.747,0.329
gini_index,360,26,0.661,0.638,0.734,0.303
gini_index,370,28,0.661,0.638,0.734,0.303
gini_index,380,28,0.661,0.636,0.736,0.304
gini_index,390,29,0.672,0.649,0.743,0.327
gini_index,400,30,0.661,0.636,0.736,0.304
gini_index,410,30,0.656,0.63,0.733,0.292
gini_index,420,31,0.656,0.63,0.733,0.292
gini_index,430,34,0.64,0.612,0.724,0.256
gini_index,440,36,0.651,0.623,0.733,0.281
gini_index,450,37,0.64,0.611,0.727,0.257
gini_index,460,39,0.634,0.605,0.724,0.245
gini_index,470,39,0.64,0.611,0.727,0.257
gini_index,480,40,0.64,0.611,0.727,0.257
gini_index,490,41,0.651,0.623,0.733,0.281
gini_index,500,44,0.645,0.618,0.727,0.268
pubmed_65,10,0,0.548,0.507,0.679,0.02
pubmed_65,20,1,0.538,0.499,0.667,-0.003
pubmed_65,30,1,0.602,0.58,0.684,0.173
pubmed_65,40,1,0.575,0.547,0.675,0.107
pubmed_65,50,1,0.559,0.534,0.655,0.074
pubmed_65,60,1,0.559,0.523,0.677,0.058
pubmed_65,70,2,0.586,0.554,0.691,0.129
pubmed_65,80,3,0.554,0.522,0.664,0.052
pubmed_65,90,4,0.575,0.549,0.669,0.11
pubmed_65,100,4,0.57,0.544,0.664,0.098
pubmed_65,110,4,0.575,0.552,0.664,0.113
pubmed_65,120,5,0.591,0.569,0.675,0.149
pubmed_65,130,6,0.575,0.551,0.667,0.111
pubmed_65,140,6,0.591,0.569,0.675,0.149
pubmed_65,150,6,0.591,0.569,0.675,0.149
pubmed_65,160,7,0.559,0.535,0.653,0.076
pubmed_65,170,7,0.543,0.519,0.638,0.042
pubmed_65,180,7,0.548,0.525,0.641,0.055
pubmed_65,190,7,0.613,0.588,0.697,0.195
pubmed_65,200,7,0.613,0.588,0.697,0.195
pubmed_65,210,7,0.624,0.596,0.711,0.219
pubmed_65,220,8,0.581,0.554,0.675,0.121
pubmed_65,230,8,0.565,0.538,0.661,0.085
pubmed_65,240,8,0.613,0.585,0.702,0.194
pubmed_65,250,8,0.629,0.601,0.716,0.231
pubmed_65,260,8,0.613,0.592,0.69,0.197
pubmed_65,270,8,0.613,0.591,0.692,0.196
pubmed_65,280,8,0.608,0.581,0.697,0.182
pubmed_65,290,8,0.618,0.594,0.7,0.207
pubmed_65,300,8,0.64,0.615,0.72,0.255
pubmed_65,310,8,0.629,0.605,0.709,0.231
pubmed_65,320,9,0.624,0.599,0.706,0.219
pubmed_65,330,10,0.64,0.615,0.72,0.255
pubmed_65,340,10,0.656,0.632,0.731,0.291
pubmed_65,350,10,0.651,0.628,0.723,0.279
pubmed_65,360,10,0.667,0.644,0.737,0.315
pubmed_65,370,10,0.645,0.622,0.72,0.267
pubmed_65,380,10,0.645,0.623,0.718,0.267
pubmed_65,390,10,0.677,0.656,0.744,0.338
pubmed_65,400,12,0.618,0.595,0.698,0.208
pubmed_65,410,12,0.683,0.663,0.745,0.349
pubmed_65,420,13,0.613,0.589,0.695,0.195
pubmed_65,430,14,0.629,0.605,0.709,0.231
pubmed_65,440,14,0.667,0.644,0.737,0.315
pubmed_65,450,17,0.629,0.608,0.704,0.232
pubmed_65,460,17,0.629,0.608,0.704,0.232
pubmed_65,470,17,0.602,0.578,0.686,0.172
pubmed_65,480,17,0.602,0.58,0.684,0.173
pubmed_65,490,17,0.613,0.589,0.695,0.195
pubmed_65,500,17,0.629,0.609,0.701,0.232
cmim,10,0,0.543,0.487,0.702,-0.081
cmim,20,0,0.516,0.491,0.619,-0.019
cmim,30,1,0.473,0.451,0.574,-0.103
cmim,40,3,0.554,0.507,0.694,0.022
cmim,50,3,0.441,0.415,0.559,-0.186
cmim,60,3,0.435,0.41,0.553,-0.196
cmim,70,3,0.478,0.447,0.604,-0.122
cmim,80,3,0.478,0.45,0.598,-0.113
cmim,90,3,0.446,0.42,0.565,-0.177
cmim,100,3,0.559,0.513,0.696,0.041
cmim,110,3,0.554,0.507,0.694,0.022
cmim,120,3,0.478,0.451,0.594,-0.109
cmim,130,3,0.5,0.465,0.629,-0.085
cmim,140,5,0.527,0.494,0.645,-0.013
cmim,150,5,0.538,0.501,0.661,0.004
cmim,160,5,0.548,0.514,0.667,0.033
cmim,170,5,0.548,0.515,0.664,0.036
cmim,180,5,0.543,0.51,0.659,0.024
cmim,190,5,0.565,0.528,0.682,0.071
cmim,200,5,0.565,0.529,0.68,0.073
cmim,210,6,0.57,0.538,0.677,0.09
cmim,220,6,0.554,0.52,0.669,0.048
cmim,230,7,0.554,0.521,0.667,0.05
cmim,240,7,0.559,0.528,0.667,0.066
cmim,250,7,0.57,0.539,0.675,0.092
cmim,260,7,0.565,0.533,0.672,0.078
cmim,270,8,0.565,0.533,0.672,0.078
cmim,280,8,0.591,0.561,0.691,0.143
cmim,290,9,0.591,0.561,0.691,0.143
cmim,300,11,0.602,0.572,0.699,0.168
cmim,310,11,0.597,0.566,0.696,0.155
cmim,320,11,0.586,0.555,0.688,0.13
cmim,330,11,0.608,0.577,0.704,0.181
cmim,340,11,0.581,0.549,0.685,0.116
cmim,350,12,0.586,0.555,0.688,0.13
cmim,360,13,0.591,0.562,0.689,0.144
cmim,370,14,0.613,0.587,0.7,0.194
cmim,380,15,0.602,0.575,0.694,0.169
cmim,390,17,0.613,0.587,0.7,0.194
cmim,400,19,0.608,0.577,0.704,0.181
cmim,410,20,0.608,0.577,0.704,0.181
cmim,420,20,0.602,0.572,0.699,0.168
cmim,430,20,0.613,0.584,0.705,0.194
cmim,440,22,0.586,0.556,0.686,0.131
cmim,450,23,0.581,0.55,0.683,0.117
cmim,460,23,0.575,0.548,0.672,0.108
cmim,470,23,0.597,0.568,0.691,0.156
cmim,480,23,0.591,0.562,0.689,0.144
cmim,490,24,0.591,0.564,0.686,0.144
cmim,500,24,0.586,0.558,0.683,0.132
DO_95,10,0,0.559,0.5,0.717,0.0
DO_95,20,0,0.559,0.5,0.717,0.0
DO_95,30,0,0.543,0.509,0.661,0.021
DO_95,40,1,0.581,0.546,0.69,0.114
DO_95,50,1,0.57,0.539,0.675,0.092
DO_95,60,1,0.586,0.564,0.67,0.138
DO_95,70,2,0.586,0.561,0.675,0.135
DO_95,80,3,0.608,0.586,0.687,0.185
DO_95,90,3,0.57,0.543,0.667,0.097
DO_95,100,3,0.554,0.53,0.647,0.065
DO_95,110,3,0.559,0.536,0.65,0.078
DO_95,120,3,0.522,0.492,0.634,-0.018
DO_95,130,3,0.527,0.497,0.639,-0.007
DO_95,140,4,0.548,0.519,0.656,0.043
DO_95,150,5,0.538,0.508,0.648,0.018
DO_95,160,6,0.522,0.492,0.634,-0.018
DO_95,170,6,0.543,0.513,0.653,0.029
DO_95,180,6,0.532,0.5,0.648,0.001
DO_95,190,6,0.522,0.49,0.64,-0.025
DO_95,200,6,0.543,0.51,0.659,0.024
DO_95,210,6,0.543,0.51,0.659,0.024
DO_95,220,7,0.64,0.616,0.717,0.255
DO_95,230,8,0.645,0.623,0.718,0.267
DO_95,240,8,0.661,0.639,0.732,0.303
DO_95,250,9,0.651,0.626,0.728,0.28
DO_95,260,9,0.629,0.604,0.711,0.231
DO_95,270,10,0.64,0.615,0.72,0.255
DO_95,280,10,0.64,0.615,0.72,0.255
DO_95,290,10,0.634,0.609,0.717,0.243
DO_95,300,10,0.64,0.616,0.717,0.255
DO_95,310,11,0.656,0.629,0.736,0.293
DO_95,320,13,0.667,0.64,0.744,0.318
DO_95,330,15,0.677,0.651,0.752,0.342
DO_95,340,15,0.667,0.639,0.746,0.319
DO_95,350,15,0.651,0.622,0.735,0.282
DO_95,360,16,0.677,0.651,0.752,0.342
DO_95,370,17,0.656,0.629,0.736,0.293
DO_95,380,17,0.656,0.628,0.738,0.294
DO_95,390,17,0.651,0.623,0.733,0.281
DO_95,400,18,0.661,0.634,0.741,0.306
DO_95,410,18,0.656,0.628,0.738,0.294
DO_95,420,19,0.634,0.61,0.714,0.243
DO_95,430,20,0.651,0.627,0.726,0.279
DO_95,440,21,0.634,0.611,0.712,0.243
DO_95,450,21,0.629,0.605,0.709,0.231
DO_95,460,21,0.64,0.616,0.717,0.255
DO_95,470,21,0.618,0.594,0.7,0.207
DO_95,480,21,0.602,0.576,0.692,0.17
DO_95,490,21,0.634,0.61,0.714,0.243
DO_95,500,22,0.624,0.6,0.703,0.219
GObp_95,10,0,0.505,0.494,0.57,-0.011
GObp_95,20,0,0.602,0.573,0.697,0.169
GObp_95,30,0,0.591,0.559,0.696,0.141
GObp_95,40,0,0.538,0.517,0.626,0.036
GObp_95,50,1,0.581,0.561,0.661,0.129
GObp_95,60,1,0.543,0.522,0.632,0.046
GObp_95,70,4,0.565,0.544,0.649,0.093
GObp_95,80,5,0.608,0.588,0.681,0.187
GObp_95,90,7,0.618,0.597,0.695,0.208
GObp_95,100,10,0.581,0.539,0.705,0.11
GObp_95,110,11,0.586,0.545,0.707,0.126
GObp_95,120,11,0.597,0.556,0.715,0.157
GObp_95,130,15,0.586,0.543,0.709,0.126
GObp_95,140,15,0.586,0.543,0.709,0.126
GObp_95,150,20,0.581,0.539,0.705,0.11
GObp_95,160,21,0.581,0.539,0.705,0.11
GObp_95,170,21,0.581,0.539,0.705,0.11
GObp_95,180,21,0.586,0.543,0.709,0.126
GObp_95,190,22,0.575,0.531,0.704,0.094
GObp_95,200,24,0.575,0.531,0.704,0.094
GObp_95,210,25,0.575,0.531,0.704,0.094
GObp_95,220,27,0.57,0.526,0.699,0.078
GObp_95,230,27,0.57,0.526,0.699,0.078
GObp_95,240,29,0.565,0.522,0.694,0.063
GObp_95,250,29,0.565,0.522,0.694,0.063
GObp_95,260,29,0.565,0.522,0.694,0.063
GObp_95,270,31,0.565,0.522,0.694,0.063
GObp_95,280,31,0.57,0.528,0.697,0.079
GObp_95,290,31,0.57,0.528,0.697,0.079
GObp_95,300,33,0.565,0.522,0.694,0.063
GObp_95,310,36,0.565,0.522,0.694,0.063
GObp_95,320,37,0.565,0.522,0.694,0.063
GObp_95,330,37,0.565,0.522,0.694,0.063
GObp_95,340,39,0.565,0.522,0.694,0.063
GObp_95,350,39,0.57,0.528,0.697,0.079
GObp_95,360,40,0.57,0.528,0.697,0.079
GObp_95,370,42,0.57,0.528,0.697,0.079
GObp_95,380,44,0.57,0.528,0.697,0.079
GObp_95,390,46,0.57,0.528,0.697,0.079
GObp_95,400,48,0.57,0.528,0.697,0.079
GObp_95,410,48,0.57,0.528,0.697,0.079
GObp_95,420,49,0.57,0.528,0.697,0.079
GObp_95,430,50,0.57,0.528,0.697,0.079
GObp_95,440,50,0.57,0.528,0.697,0.079
GObp_95,450,52,0.57,0.528,0.697,0.079
GObp_95,460,53,0.57,0.528,0.697,0.079
GObp_95,470,53,0.57,0.528,0.697,0.079
GObp_95,480,56,0.57,0.528,0.697,0.079
GObp_95,490,57,0.57,0.528,0.697,0.079
GObp_95,500,57,0.57,0.528,0.697,0.079
joint_interaction_25,10,0,0.548,0.507,0.679,0.02
joint_interaction_25,20,1,0.581,0.55,0.683,0.117
joint_interaction_25,30,1,0.597,0.571,0.686,0.158
joint_interaction_25,40,1,0.575,0.545,0.678,0.105
joint_interaction_25,50,1,0.527,0.497,0.639,-0.007
joint_interaction_25,60,1,0.532,0.498,0.653,-0.005
joint_interaction_25,70,1,0.559,0.525,0.675,0.06
joint_interaction_25,80,2,0.586,0.551,0.696,0.127
joint_interaction_25,90,3,0.581,0.549,0.685,0.116
joint_interaction_25,100,3,0.597,0.568,0.691,0.156
joint_interaction_25,110,3,0.581,0.551,0.68,0.118
joint_interaction_25,120,4,0.559,0.53,0.664,0.068
joint_interaction_25,130,5,0.591,0.566,0.681,0.147
joint_interaction_25,140,6,0.554,0.527,0.653,0.061
joint_interaction_25,150,6,0.57,0.543,0.667,0.097
joint_interaction_25,160,6,0.581,0.557,0.669,0.124
joint_interaction_25,170,8,0.586,0.561,0.675,0.135
joint_interaction_25,180,9,0.575,0.552,0.664,0.113
joint_interaction_25,190,9,0.651,0.626,0.728,0.28
joint_interaction_25,200,9,0.661,0.638,0.734,0.303
joint_interaction_25,210,9,0.608,0.587,0.684,0.186
joint_interaction_25,220,9,0.597,0.572,0.684,0.159
joint_interaction_25,230,9,0.597,0.568,0.691,0.156
joint_interaction_25,240,9,0.543,0.514,0.65,0.032
joint_interaction_25,250,10,0.554,0.527,0.653,0.061
joint_interaction_25,260,10,0.629,0.6,0.718,0.232
joint_interaction_25,270,11,0.613,0.584,0.705,0.194
joint_interaction_25,280,11,0.629,0.599,0.721,0.232
joint_interaction_25,290,11,0.613,0.583,0.707,0.194
joint_interaction_25,300,11,0.608,0.578,0.702,0.181
joint_interaction_25,310,11,0.608,0.579,0.7,0.181
joint_interaction_25,320,11,0.629,0.605,0.709,0.231
joint_interaction_25,330,11,0.608,0.582,0.695,0.182
joint_interaction_25,340,11,0.613,0.587,0.7,0.194
joint_interaction_25,350,12,0.618,0.593,0.703,0.207
joint_interaction_25,360,12,0.624,0.598,0.708,0.219
joint_interaction_25,370,13,0.645,0.618,0.727,0.268
joint_interaction_25,380,13,0.64,0.61,0.729,0.258
joint_interaction_25,390,13,0.651,0.624,0.73,0.28
joint_interaction_25,400,13,0.656,0.63,0.733,0.292
joint_interaction_25,410,13,0.656,0.633,0.729,0.291
joint_interaction_25,420,14,0.656,0.632,0.731,0.291
joint_interaction_25,430,14,0.661,0.638,0.734,0.303
joint_interaction_25,440,14,0.634,0.611,0.712,0.243
joint_interaction_25,450,14,0.624,0.603,0.698,0.22
joint_interaction_25,460,16,0.634,0.611,0.712,0.243
joint_interaction_25,470,16,0.629,0.605,0.709,0.231
joint_interaction_25,480,16,0.634,0.611,0.712,0.243
joint_interaction_25,490,19,0.64,0.617,0.715,0.255
joint_interaction_25,500,19,0.624,0.6,0.703,0.219
GOcc_20,10,0,0.548,0.507,0.679,0.02
GOcc_20,20,1,0.565,0.542,0.652,0.091
GOcc_20,30,1,0.559,0.536,0.65,0.078
GOcc_20,40,1,0.565,0.541,0.655,0.089
GOcc_20,50,1,0.597,0.567,0.694,0.156
GOcc_20,60,1,0.602,0.572,0.699,0.168
GOcc_20,70,1,0.575,0.54,0.688,0.1
GOcc_20,80,1,0.57,0.537,0.68,0.089
GOcc_20,90,2,0.618,0.586,0.715,0.207
GOcc_20,100,4,0.581,0.551,0.68,0.118
GOcc_20,110,4,0.586,0.561,0.675,0.135
